20241128	15:51:51	3a10d46e-fa6d-4d04-904d-316bbcf051f0	GET 	 undefined	/
20241128	15:51:51	60364496-6967-4e24-8c4f-4df01b4659fc	GET 	 undefined	/css/style.css
20241128	15:55:46	468e5f40-7d01-4fec-b76c-5cb2ac1144dd	OPTIONS 	 https://www.google.com	/
20241128	15:55:46	bfc5e451-53d6-42e8-bd80-70f6436bc666	GET 	 https://www.google.com	/
20241128	16:08:13	456d5b72-5b41-46fa-80d5-9c6769df9277	OPTIONS 	 https://www.google.com	/
20241128	16:08:13	53f5a343-660e-4c95-ab83-ee8037ec8616	GET 	 https://www.google.com	/
20241128	16:08:27	553bc6ec-c607-4713-bd80-240af538cf07	OPTIONS 	 https://www.google.com	/
20241128	16:08:27	848012a4-4bc6-4a70-8ee9-b283480980bf	GET 	 https://www.google.com	/
20241130	21:05:28	6036e9f5-5dbd-40a4-a984-800896f26570	OPTIONS 	 https://www.google.com	/
20241130	21:05:28	e783f88a-77d8-4f9a-8882-644a3ada522a	GET 	 https://www.google.com	/
20241130	21:05:45	3ef392d1-51cc-4010-9d02-ecd2c6f71a20	OPTIONS 	 https://www.google.com	/
20241130	21:05:45	b4539fa2-be61-4c25-b325-5dc4563eca3f	GET 	 https://www.google.com	/
20241130	21:23:54	b7593668-1df1-455a-b038-cccaec84bd30	OPTIONS 	 https://www.google.com	/
20241130	21:23:54	5a606254-6a21-4813-9917-2f521085d444	GET 	 https://www.google.com	/
20241130	21:24:03	2b300b4c-88bc-4f06-ac4c-d33973840c11	GET 	 undefined	/
20241130	21:25:46	ac4e2952-c258-4154-ae77-5411cf71070a	GET 	 undefined	/
20241130	21:37:15	94d0d596-0b88-452c-8e97-97114ac8655f	GET 	 undefined	/
20241130	21:37:15	4ecf533f-13cf-4e8c-b230-734b760cd500	GET 	 undefined	/css/style.css
20241130	21:37:17	2c3057a2-5ec7-4216-90e9-4c9e7af04033	GET 	 undefined	/
20241130	21:37:17	d61dce59-e743-444f-b653-1f8a8e61c21f	GET 	 undefined	/css/style.css
20241130	21:37:30	ed49ae4a-2074-42b0-8240-0f3ec040000b	GET 	 undefined	/andy
20241130	21:37:30	3a5a5581-b591-4c9b-af0a-8ac6c5b7556e	GET 	 undefined	/css/style.css
20241219	15:45:41	ebbdd4cd-6b32-4f89-a75d-908e59a6e34e	GET 	 undefined	/
20241219	15:45:41	5e973cf2-2426-4e89-a5f8-fb988f7a7e85	GET 	 undefined	/css/style.css
20241219	15:47:19	9c8dfc4f-8a18-42f8-b324-be488255c34f	GET 	 undefined	/
20241219	15:47:19	6512e036-7fbd-4049-b9bd-4cd2333d8596	GET 	 undefined	/css/style.css
20241219	15:47:25	b9745703-1856-4837-b0c7-aaa3467e7428	GET 	 undefined	/index
20241219	15:47:26	cdd72426-e558-4b33-a2d6-af7c394299f9	GET 	 undefined	/index
20241219	15:47:26	73b9838c-831b-4764-89b0-9b4206d59809	GET 	 undefined	/css/style.css
20241219	15:48:27	ab6f9ecf-1279-4a2a-9c5f-0aeeb5aed62e	GET 	 undefined	/
20241219	15:48:27	ca26ce52-b495-46d0-b31d-fa853ed5fa49	GET 	 undefined	/css/style.css
20241219	15:48:39	29804074-fffd-4fb2-85a2-23a4043cf819	GET 	 undefined	/blind
20241219	15:48:39	6e227c64-6b1b-4264-a296-ab531b1e427a	GET 	 undefined	/css/style.css
