20241202	13:08:44	cb546ab1-38bf-4765-90c5-384be1da8364	GET 	 undefined	/
20241202	13:08:44	78701940-0352-40c5-a5e8-d453f1af00ca	GET 	 undefined	/css/style.css
20241202	13:08:56	2a5823f7-064d-4a95-98de-43217402d104	GET 	 undefined	/index
20241202	13:09:00	79665777-c569-477b-a7b0-99623681d4e6	GET 	 undefined	/index.html
20241202	13:09:00	2f1cc231-8c85-4129-952d-7e9ebd5b8b83	GET 	 undefined	/css/style.css
20241202	13:09:06	19ab3e78-ba9b-44c7-a2e7-afdfd3591b17	GET 	 undefined	/index
20241202	13:09:07	9aaf96c8-936e-460b-95a4-da9c5f53c233	GET 	 undefined	/index
20241202	13:09:07	e3f862bf-efd6-4536-8d83-2dea2266661c	GET 	 undefined	/css/style.css
20241202	13:09:27	d444c32d-2bd7-4c81-b6fc-03f2d8d7b9f1	GET 	 undefined	/index
20241202	13:09:27	f3ed7272-882a-4c00-89a5-592c2c2f6e06	GET 	 undefined	/css/style.css
20241202	13:09:32	0d03724b-fcd2-4043-98d6-9c55ba7708f0	GET 	 undefined	/
20241202	13:09:32	7ff2c050-aae4-4010-ac15-86ce4ff0e5c8	GET 	 undefined	/css/style.css
20241202	13:09:46	6303af8f-f0c0-41a9-b0fe-ad192e129c2f	GET 	 undefined	/index
20241202	13:09:47	33dfdf0d-6fd1-466b-96dd-d384186b3012	GET 	 undefined	/index
20241202	13:09:47	c23b0422-b93e-477e-9481-03aff46feed9	GET 	 undefined	/css/style.css
20241202	13:09:56	8d3a5eac-c4fd-4f71-9d1b-26a5f23ca3b5	GET 	 undefined	/index
20241202	13:09:56	757f0957-24cf-4c9e-884d-5995ec3c182f	GET 	 undefined	/css/style.css
20241202	13:10:07	f04d6165-308a-4150-b335-4f11801c0b5d	GET 	 undefined	/index.html
20241202	13:10:07	54431b40-7772-478e-8916-a0ba250f9944	GET 	 undefined	/css/style.css
20241202	13:12:19	4982c227-2f60-42ec-9e58-21c48fd34588	GET 	 undefined	/views/index.html
20241202	13:12:19	93851f18-7b9a-4943-a7e7-ff053bd97962	GET 	 undefined	/css/style.css
20241202	13:12:52	b7b11f29-0972-4a82-93a1-67703f314e4a	GET 	 undefined	/
20241202	13:12:52	45a6984c-e2d5-4ff1-8361-929b77dbef51	GET 	 undefined	/css/style.css
